date,year,location,tmax,tmin,af,rain,sun
1990-01-01,1990,Cambridge,9.8,4,0,43.8,64.7
1990-02-01,1990,Cambridge,11.4,4.7,1,71.1,102
1990-03-01,1990,Cambridge,12.9,4.7,3,23.2,153.2
1990-04-01,1990,Cambridge,13.5,3.1,7,28.2,206.3
1990-05-01,1990,Cambridge,19.1,6.7,0,6.2,225.7
1990-06-01,1990,Cambridge,19.2,9.8,0,30.1,112.5
1990-07-01,1990,Cambridge,23.7,11.5,0,16.9,224.8
1990-08-01,1990,Cambridge,25.7,13.6,0,21.1,230.8
1990-09-01,1990,Cambridge,18.6,8.9,0,37.3,136.8
1990-10-01,1990,Cambridge,16.2,9.5,0,43.7,126.3
1990-11-01,1990,Cambridge,9.8,4.5,1,40.5,40.6
1990-12-01,1990,Cambridge,6.9,2.3,5,45.8,43.1
1991-01-01,1991,Cambridge,6.2,1.2,8,29.9,75.6
1991-02-01,1991,Cambridge,4.6,-1.8,20,23,45.3
1991-03-01,1991,Cambridge,12,4.7,2,37.9,100.3
1991-04-01,1991,Cambridge,12.4,4,3,42.9,147.1
1991-05-01,1991,Cambridge,14.7,6.6,1,13.9,114.5
1991-06-01,1991,Cambridge,16.7,8.8,0,97.6,113.5
1991-07-01,1991,Cambridge,22.9,13.1,0,32.1,192.7
1991-08-01,1991,Cambridge,23.7,12.8,0,41.2,209.8
1991-09-01,1991,Cambridge,20.5,9.8,0,46.5,176.1
1991-10-01,1991,Cambridge,14.1,6.9,1,18.5,88.9
1991-11-01,1991,Cambridge,9.8,4.2,3,54.9,51
1991-12-01,1991,Cambridge,7.3,1.2,12,11.9,43.8
1992-01-01,1992,Cambridge,6.4,1.4,10,67.8,49.5
1992-02-01,1992,Cambridge,9.2,2,8,14,56.1
1992-03-01,1992,Cambridge,11.1,4.6,0,58,74
1992-04-01,1992,Cambridge,13.2,4.9,1,40.7,115.7
1992-05-01,1992,Cambridge,19.8,8.1,0,34.3,234.2
1992-06-01,1992,Cambridge,21.7,10.7,0,35.8,185.2
1992-07-01,1992,Cambridge,21.8,13.1,0,54.4,138.8
1992-08-01,1992,Cambridge,21.2,12.2,0,72.4,163
1992-09-01,1992,Cambridge,18.4,10,0,82,127.7
1992-10-01,1992,Cambridge,11.5,5.1,0,91.6,97.9
1992-11-01,1992,Cambridge,10.8,4.2,1,78.2,62.5
1992-12-01,1992,Cambridge,6.4,0.5,15,31.6,42.5
1993-01-01,1993,Cambridge,9.6,2.9,5,51.3,39.8
1993-02-01,1993,Cambridge,6.6,2.3,3,11.6,37.4
1993-03-01,1993,Cambridge,10.7,3.1,7,19.9,125
1993-04-01,1993,Cambridge,13.4,6.3,0,78.4,108.4
1993-05-01,1993,Cambridge,17.2,7.6,0,47.9,185.7
1993-06-01,1993,Cambridge,20.4,10.5,0,86,186.6
1993-07-01,1993,Cambridge,20.5,11.5,0,54.4,169.1
1993-08-01,1993,Cambridge,20.5,10.6,0,37.5,196.3
1993-09-01,1993,Cambridge,16.7,9.6,0,67.4,95.1
1993-10-01,1993,Cambridge,12.1,6.2,5,88.9,107.6
1993-11-01,1993,Cambridge,7.9,2.1,11,53.5,59.3
1993-12-01,1993,Cambridge,8.5,2.6,5,78.3,43.5
1994-01-01,1994,Cambridge,8.5,2.3,7,70.5,66.6
1994-02-01,1994,Cambridge,6.7,0,13,34.4,82.8
1994-03-01,1994,Cambridge,11.7,4.2,0,36.1,134.1
1994-04-01,1994,Cambridge,12.4,4.3,3,67.3,164.5
1994-05-01,1994,Cambridge,15.1,7.1,0,44.1,135.9
1994-06-01,1994,Cambridge,20.3,10.3,0,20,219.6
1994-07-01,1994,Cambridge,25.8,13.1,0,23,222.1
1994-08-01,1994,Cambridge,22.1,13,0,36.4,176.9
1994-09-01,1994,Cambridge,16.6,10.1,0,72.1,103.2
1994-10-01,1994,Cambridge,13.9,7.9,0,74.9,108.2
1994-11-01,1994,Cambridge,12.6,7,1,27.3,36.6
1994-12-01,1994,Cambridge,9.8,2.5,10,41.7,66.7
1995-01-01,1995,Cambridge,7.9,1.7,6,86.5,56.9
1995-02-01,1995,Cambridge,9.6,3.3,2,63.1,84.4
1995-03-01,1995,Cambridge,9.9,1.6,12,50.8,185.8
1995-04-01,1995,Cambridge,13.9,4.5,4,10.2,161.7
1995-05-01,1995,Cambridge,17.9,6.2,1,24.4,202.5
1995-06-01,1995,Cambridge,18.7,9.3,0,17.3,159.7
1995-07-01,1995,Cambridge,25.8,13.4,0,27.1,234.9
1995-08-01,1995,Cambridge,25.7,13.1,0,5.3,243.7
1995-09-01,1995,Cambridge,18,10.4,0,105.4,114.8
1995-10-01,1995,Cambridge,17.6,9.5,1,12.7,149.4
